"";"sterbedatum";"sm";"sll";"sul";"o"
"1";2026-07-07;192;187;203;219
"2";2026-07-08;227;220;240;171
"3";2026-07-09;176;171;188;175
"4";2026-07-10;182;176;195;195
"5";2026-07-11;202;196;214;188
"6";2026-07-12;195;189;208;175
"7";2026-07-13;184;177;199;191
"8";2026-07-14;199;192;214;210
"9";2026-07-15;221;212;237;175
"10";2026-07-16;183;176;195;175
"11";2026-07-17;185;177;199;173
"12";2026-07-18;182;175;194;170
"13";2026-07-19;181;173;195;164
"14";2026-07-20;175;166;191;163
"15";2026-07-21;173;165;188;155
"16";2026-07-22;169;158;185;169
"17";2026-07-23;181;173;196;179
"18";2026-07-24;197;185;214;156
"19";2026-07-25;173;161;191;173
"20";2026-07-26;194;180;212;161
"21";2026-07-27;180;168;202;148
"22";2026-07-28;167;154;186;130
"23";2026-07-29;157;141;180;161
"24";2026-07-30;194;177;219;137
"25";2026-07-31;185;161;228;133
"26";2026-08-01;195;166;251;130
"27";2026-08-02;196;165;239;99
"28";2026-08-03;159;132;196;88
"29";2026-08-04;184;137;244;53
"30";2026-08-05;277;158;466;3
